S#,Title,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,Cities,State,Gun law,Party affiliation
51,"Belfair, WA Family murder-suicide",2/25/2016,5,0,4,Unknown,White,M,47.451459,-122.82694599999999,,Washington,B,Democrat
147,Marysville-Pilchuck High School,10/24/2014,5,1,5,No,Native,M,48.04802409,-122.1359622,Marysville,Washington,B,Democrat
151,Seattle Pacific University,6/5/2014,1,2,3,Yes,Unknown,M,47.62199575,-122.323646,Seattle,Washington,B,Democrat
161,Washington Navy Yard,9/16/2013,13,3,15,Yes,Black,M,38.90480894,-77.01629717,Washington,Washington,B,Democrat
168,Pinewood Village Apartments,4/21/2013,5,0,4,Unknown,Black,M,47.30909721,-122.3357553,Federal Way,Washington,B,Democrat
182,Cafe in Seattle,5/30/2012,6,1,6,Yes,White,M,47.62199575,-122.323646,Seattle,Washington,B,Democrat
183,Seattle cafe shooting,5/20/2012,6,1,7,Yes,White,M,47.6038321,-122.3300624,Seattle,Washington,B,Democrat
197,Coffee shop police killings,11/29/2009,4,1,5,Yes,Black,M,47.155846000000004,-122.437031,Parkland,Washington,B,Democrat
198,Parkland Coffee Shop,11/29/2009,5,0,4,Yes,Black,M,47.16267579,-122.5296574,Lakewood,Washington,B,Democrat
211,"Carnation, Washington",12/24/2007,6,0,6,No,White,Unknown,47.64628742,-121.9088524,Carnation,Washington,B,Democrat
226,Capitol Hill massacre,3/25/2006,7,2,9,No,White,M,47.6229,-122.3165,Seattle,Washington,B,Democrat
261,Frontier Junior High School,2/2/1996,3,1,4,Yes,White,M,47.12189424,-119.2750699,Moses Lake,Washington,B,Democrat
268,Fairchild Air Force Base Hospital,6/20/1994,5,23,27,Yes,White,M,47.618456,-117.644099,Fairchild Air Force Base,Washington,B,Democrat
308,Wah Mee Club in Seattle,2/18/1983,13,1,14,Unknown,Asian,M,47.62199575,-122.323646,Seattle,Washington,B,Democrat
318,St. Aloysius Church,11/11/1971,2,4,5,Yes,White,M,47.67367375,-117.41598429999999,Spokane,Washington,B,Democrat
9,Baton Rouge police shooting,7/17/2016,3,3,6,Yes,Black,M,,,Baton Rouge,Louisiana,F,Democrat
40,"Lafayette, LA drive by",3/7/2016,0,4,4,Unknown,Unknown,Unknown,30.224090000000004,-92.01984300000001,,Louisiana,F,Democrat
66,New Orleans gas station shoot-out,1/31/2016,0,3,3,Unknown,Black,M,29.951065999999997,-90.07153199999999,,Louisiana,F,Democrat
99,"Grand 16 Theatre, Louisiana",7/23/2015,3,9,11,Yes,White,M,30.21233538,-92.0316453,Lafayette,Louisiana,F,Democrat
